game_id,school_id,school_name,inning,runs,source_url
G26SP003,S26SP022,崇徳,8,2,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260319.html
G26SP003,S26SP022,崇徳,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260319.html
G26SP003,S26SP022,崇徳,10,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260319.html
G26SP004,S26SP017,滋賀学園,1,2,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,3,2,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,5,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,6,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,7,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,8,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP017,滋賀学園,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,1,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,2,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,3,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,4,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,5,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,6,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,7,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,8,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP004,S26SP031,長崎西,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,1,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,3,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,5,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,6,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,7,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,8,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP010,横浜,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,1,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,3,2,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,5,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,6,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,7,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,8,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,S26SP029,神村学園,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,1,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,3,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,5,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,6,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,7,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,8,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP003,花巻東,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
